Dates In Office,Name,Link Name,Page Name,Website,Living Years,Gender,Facial Hair,Glasses,Neck Decorations,Image Link,Description
(Lived January 3, 1830 – October 20, 1917)
General John T. Wilder’s first introduction to Chattanooga occurred on August 21, 1863, when he led a Union Army expedition onto Stringer’s Ridge and shelled the city during the Civil War.  He returned to participate in the Battle of Chickamauga and the Battles for Chattanooga.  After the Civil War, he returned to Chattanooga to begin the Roan Iron Works.
A civic and business leader in his adopted city, John Wilder became Mayor in November 1871.  The largest employer in Chattanooga, Wilder’s Roane Iron Works owned land throughout eastern Tennessee, and he traveled extensively outside of the city.   During the first six months that he held office, Mayor Wilder attended only one Board of Aldermen meeting, leading him to resign his office on May 18, 1872.

 
	
						 
	         _                            Close"

1872,Josiah Jackson Bryan ,1872 Josiah Jackson Bryan,1872 Josiah Jackson Bryan,http://www.chattanooga.gov/about-chattanooga/history-of-mayors/1872-josiah-jackson-bryan,"(Lived 1820 - May 18, 1883)",Male,,,,http://www.chattanooga.gov/images/Mayor_Images/colorseal_sm.gif,"1872 Josiah Jackson Bryan 
	
													
								
	

	
		
						 
	




(Lived 1820 - May 18, 1883)
Born in Cocke County, Tennessee, Josiah Bryan moved to Chattanooga in 1848.  Mayor Bryan oversaw an expansion of city government with new offices occupied in the VanDeman Building on the corner of Eighth and Market Streets.  In trying to promote Chattanooga for travelers, Mayor Bryan and the Board of Aldermen passed a resolution inviting United States President U. S. Grant and his cabinet to spend a portion of the summer on Lookout Mountain.  The resolution included an expenditure of $500 to help defray the cost of the President and his cabinet. 
Mayor Bryan also oversaw significant public works in the further attempt to improve the streets of Chattanooga. To aid the city with financial issues, the mayor and alderman issued $30,000 in city script.

 
	
						 
	         _                            Close"

1873,Dr. Eli M. Wight,1873 Dr. Eli M. Wight,1873 Dr. Eli M. Wight,http://www.chattanooga.gov/about-chattanooga/history-of-mayors/1873-dr-eli-m-wight,"(Lived May 4, 1841 – January 6, 1881)",Male,,,,http://www.chattanooga.gov/images/Mayor_Images/EM_Wright_1872-1876.jpg,"1873 Dr. Eli M. Wight 
	
													
								
	

	
		
						 
	




(Lived May 4, 1841 – January 6, 1881)
Born in Dechard, Maine in 1841, Eli Wight joined the Union Army at the outbreak of the Civil War in 1861.  Trained as a surgeon, Dr. Wight arrived in occupied Chattanooga in 1864.  Though serving in the Union Hospital in Chattanooga, Dr. Wight also saw civilian patients.  Dr. Wight mustered out of the Union Army in 1866 and remained in Chattanooga to practice medicine. 
Records show that Dr. Wight’s focus as mayor was to reduce the operating expenses of the town government.  To this end, Mayor Wight reduced the police force and laid off the city engineer during the winter months.  Perhaps his most drastic step the republican mayor took was closing the Public Works department for a few months and calling on citizens to help the city by paying all taxes promptly.

 
	
						 
	         _                            Close"

1874,Dr. Philander D. Sims,1874 Dr. Philander D. Sims,1874 Dr. Philander D. Sims,http://www.chattanooga.gov/about-chattanooga/history-of-mayors/1874-dr-philander-d-sims,"(Lived October 22, 1828 - November 8, 1920)",Male,,,,http://www.chattanooga.gov/images/Mayor_Images/PD_Sims_1873.jpg,"1874 Dr. Philander D. Sims 
	
													
								
	

	
		
						 
	




(Lived October 22, 1828 - November 8, 1920)
Philander Sims completed medical school at the University of Nashville in 1856 and immediately moved to Chattanooga to begin a medical practice. Dr. Sims is noted in many historical accounts of rendering great service to wounded soldiers, both Union and Confederate, following the Battles for Chattanooga. Throughout the war, Dr. Sims’s office building on Market Street served as the Union Army’s Provost Marshall’s office.    
In the first election in which Confederate Veterans were allowed to vote, long-time Chattanooga doctor Philander Sims won the mayoral race.  Dr. Sims took the oath of office on November 24, 1873 and took charge of a city facing financial crisis.  Mayor Sims appointed a finance committee to examine the city’s financial situation and to propose what actions could be taken to improve the city’s position.  The committee recommended that the Mayor and Board of Aldermen drastically cut spending and find a way to maintain the city on no more than $2500 a month.  This plan was not adopted, but the Mayor and alderman did resolve to have city officials be more diligent in the collection of taxes.  However, the Mayor and Alderman did not seem to worry about the city’s weak finances for long, as they spent $26, 714.00 on street repairs and left the city with a $21,400 deficit.
Mayor Sims returned to medical practice and was involved in the care of the residents during the yellow fever epidemic of 1878.

 
	
						 
	         _                            Close"

1875,John W. James ,1875 John W. James,1875 John W. James,http://www.chattanooga.gov/about-chattanooga/history-of-mayors/1875-john-w-james,"(Lived January 31, 1839 – February 21, 1898)",Male,,,,http://www.chattanooga.gov/images/Mayor_Images/John_W_James_1874.jpg,"1875 John W. James 
	
													
								
	

	
		
						 
	




(Lived January 31, 1839 – February 21, 1898)

Born in Sullivan County, Tennessee, John James moved with his family to Chattanooga in 1856.  At the outbreak of the Civil War, James joined the Union Army and served in the Quartermaster’s Department.  James returned to Chattanooga following the war.
When James became mayor on November 23, 1874, he inherited a city in the midst of financial collapse.  Throughout the 1870s, each mayor and board of aldermen was able to hold the city finances together through stopgap measures.  However, legal issues of interest owned on city produced script and other financial matters led to a collapse of the city government’s finances.  An issue that Mayor James was able to resolve involved the tax code that had been put in place in 1865.  The tax code exempted industries and railroads from paying taxes.  Mayor James worked to correct this measure forcing city industries to pay taxes. 
The spring of Mayor James’ term saw Chattanooga’s second major flood since the Civil War, and though it did not reach the height of the 1867 flood, it did cause great damage in town.  Mayor James appointed Captain Hiram Chamberlain to head a committee to study what the city could do to prevent future flooding.  After studying the options for controlling floodwaters, Chamberlain’s committee suggested that the city spend $100,000 to build a levee around the city.  Luckily, the city did not act upon this suggestion.  On September 4, 1875, Mayor James helped christen the city’s first streetcar as he rode in the horse drawn trolley down the tracks laid in the middle of Market Street.

 
	
						 
	         _                            Close"

1876,Colonel Tomilinson Fort ,1876 Colonel Tomilinson Fort,1876 Colonel Tomilinson Fort,http://www.chattanooga.gov/about-chattanooga/history-of-mayors/1876-colonel-tomilinson-fort,"(Lived April 26, 1839 – December 14, 1910)",Male,Mustache,No,Bow Tie,http://www.chattanooga.gov/images/Mayor_Images/Tom_Fort_1875.jpg,"1876 Colonel Tomilinson Fort 
	
													
								
	

	
		
						 
	




(Lived April 26, 1839 – December 14, 1910)
Born in Milledgeville, Georgia, Tomlinson Fort graduated from Oglethorpe University in 1857, and moved to Savannah, Georgia to practice law.  Fort returned to his hometown to care for his father’s estate in 1859.  At the beginning of the Civil War, Fort joined the Georgia militia and served throughout the war. 
Fort moved to Chattanooga in 1865, and though he came to the city with very little, he quickly found work, and by the mid-1870s, was one of Chattanooga’s leading businessmen.  Fort served as city attorney, city recorder and served on the Board of Public Works before being elected Mayor in 1876.  Fort’s election to the office marked a turning point for the city, as he was the first ex-confederate elected mayor and was able to improve the city’s financial status. 
In his inaugural address, Mayor Fort asked the Board of Aldermen to abolish all city produced script, asked the citizens to advance the city their taxes so that the city debt could be paid, and asked that all city business be conducted in open meetings with the public invited.  In his address, Mayor Fort urged the Aldermen to work with him in securing a free public education system for the children of Chattanooga.  Mayor Fort’s interest in creating a school system was so great that he secured a loan for education using his own personal credit.

 
	
						 
	         _                            Close"

1877,Dr. Eli M. Wight,1877 Dr. Eli M. Wight,1877 Dr. Eli M. Wight,http://www.chattanooga.gov/about-chattanooga/history-of-mayors/1877-dr-eli-m-wight,"(Lived May 4, 1841 – January 6, 1885)",Male,,,,http://www.chattanooga.gov/images/Mayor_Images/EM_Wright_1872-1876.jpg,"1877 Dr. Eli M. Wight 
	
													
								
	

	
		
						 
	




(Lived May 4, 1841 – January 6, 1885)
Elected to a second term as Mayor in 1876, Wight’s inaugural address to Chattanooga consisted of a list of reforms he hoped for the city to make.  Most important to Wight was to set Chattanooga on a course of more fiscal responsibility.  Wight advocated collecting taxes in cash so that the city could immediately use the money.
Wight also suggested an extension of the term for the mayor and alderman, so that the city could function continuously for more than one year.  Following his second term, Mayor Wight ran an unsuccessful campaign for Governor of Tennessee in 1878, and so returned to his medicine practice.  Dr. Wight is one of the doctors of Chattanooga that risked their lives in working with the yellow fever victims in Chattanooga through the late summer and fall of 1878.

 
	
						 
	         _                            Close"

1878,Thomas J. Carlisle,1878 Thomas J. Carlisle,1878 Thomas J. Carlisle,http://www.chattanooga.gov/about-chattanooga/history-of-mayors/1878-thomas-j-carlisle,(Lived 1832 - 1878),Male,Mustache,No,Bow Tie,http://www.chattanooga.gov/images/Mayor_Images/TJ_Carlile_1877.jpg,"1878 Thomas J. Carlisle
TJ Carlile 1877(Lived 1832 - 1878)
Born in Philadelphia, Pennsylvania, Thomas Carlile joined the Union Army in 1861.  Carlile fought in the Battle of Chickamauga before being transferred to the Quartermaster’s Department in Chattanooga.  Carlile served the remainder of the war in Chattanooga and after mustering out in 1865 he remained in the city. 

Elected mayor in 1877, Carlile took the reins of the city as it entered its brightest time since the Civil War.  The administrations of Mayors Fort and Wight had improved the city’s finances and set the city on a course of prosperity.  However, another threat of great devastation was about to hit the city.  As other cities across the south began reporting outbreaks of yellow fever or malaria, Chattanooga began to take actions.  On July 9, 1878, the mayor asked the board of alderman to pass a law restricting wildlife from roaming the streets and asked that money be appropriated to clean the sewers.  On August 24, at a specially called meeting, Mayor Carlile asked for funds to create a Citizens’ Relief Committee to begin working with the refugees flooding the city as the yellow fever epidemic spread across the south.

Due to the yellow fever epidemic becoming so wide spread in Chattanooga, the mayor and board of aldermen discontinued their regular meetings.  As the city emptied of people trying to escape the spreading illness, Mayor Carlile remained and worked among the sick of the city.   Mayor Carlile contracted yellow fever and died in late October.  When the board of aldermen reconvened on November 5, it passed a  resolution calling Mayor Carlile a hero for his efforts in the face of yellow fever"

1878,Andrew Jackson Gahagan ,1878 Thomas J. Carlisle,1878 Andrew Jackson Gahagan,http://www.chattanooga.gov/about-chattanooga/history-of-mayors/1878-andrew-jackson-gahagan,"(Lived February 23, 1844 – November 17, 1929)",Male,Mustache,No,Bow Tie,http://www.chattanooga.gov/images/Mayor_Images/Capt_AJ_Gahagan_1878.jpg,"1878 Andrew Jackson Gahagan 
	
													
								
	

	
		
						 
	




(Lived February 23, 1844 – November 17, 1929)
Born in North Carolina, Andrew Jackson Gahagan withdrew from college in 1862 to enlist in the Federal Army at the age of 17.  As a member of the Union army’s First Tennessee Cavalry, Gahagan participated in several major battles, including Chickamauga, Kennesaw Mountain, Franklin and Nashville.  Gahagan mustered out of the army on April 15, 1865 and returned to his home in North Carolina, although he did not remain there long.  Gahagan rejoined the army, was assigned to the Quartermaster’s department, where he served in Nashville and Atlanta before arriving in Chattanooga in January 1866.  In 1867, Gahagan entered private business in Chattanooga.  He partnered in a mercantile business for a few years before joining Loomis & Hart, the city’s largest lumber firm.  Gahagan served as president of Loomis & Hart for thirty-five years.
It did not take long for Gahagan to establish himself in Chattanooga.  In 1874, Gahagan began his first term as alderman, a post he kept for five terms.  He became assistant postmaster in 1877, in 1878 served as county treasurer and in October of 1878, after the death of Mayor Carlile, Gahagan was appointed acting mayor.  Though he served less than a month, Mayor Gahagan led the city through the end of the yellow fever epidemic that killed 366 people in Chattanooga.
At the end of his term, Mayor Gahagan returned to private business and again served as county treasurer until 1882.

 
	
						 
	         _                            Close"

1879,Jesse Thomas Hill ,1897-1899 Edmond Watkins,1879 Jesse Thomas Hill,http://www.chattanooga.gov/about-chattanooga/history-of-mayors/1879-jesse-thomas-hill,"(Lived March 18, 1850 – March 8, 1938)",Male,,,,http://www.chattanooga.gov/images/Mayor_Images/JT_Hill_1878.jpg,"1879 Jesse Thomas Hill 
	
													
								
	

	
		
						 
	




(Lived March 18, 1850 – March 8, 1938)
Jesse Hill became mayor in November 1878, following a time of great sorrow in Chattanooga as 366 citizens fell victim to yellow fever from August – October, 1878.  During the epidemic, Hill served as secretary of the Citizens’ Relief Committee, and in addition to performing clerical duties, he helped with the burial duties of the committee.
A relatively new comer to Chattanooga, only living in the city since 1868, Hill had served as Deputy Clerk and Master of the city’s chancery court.

 
	
						 
	         _                            Close"

1880,Henry Frederick Temple ,1880 Henry Frederick Temple,1880 Henry Frederick Temple,http://www.chattanooga.gov/about-chattanooga/history-of-mayors/1880-henry-frederick-temple,"(Lived September 14, 1840 – January 15, 1891)",Male,Mustache,No,Neck Tie,http://www.chattanooga.gov/images/Mayor_Images/HF_Temple_1879.jpg,"1880 Henry Frederick Temple 
	
													
								
	

	
		
						 
	




(Lived September 14, 1840 – January 15, 1891)
A native of Utica, New York, Henry Frederick Temple moved to Chattanooga in 1874 to take advantage of the growing industrial emphasis in the city.  During his inaugural address in November 1879, Mayor Temple reported that the city had a projected income of $31,580 for the year but that expenditures were estimated at $45,381.  Mayor Temple’s plans for balancing the city budget included refusing to accept his own salary, reducing the salary of all city employees, and keeping expenditures to a minimum.
Mayor Temple ended his address with this challenge to the Board of Alderman: “Gentlemen, though we may not be able to accomplish all that we could desire, by reason of very limited means at our command, still let every move be in the right direction in the interest of economy, of efficiency, and of progress.”
Finally, on December 11, 1879, the Cincinnati Southern Railroad completed its line into Chattanooga.  Mayor Temple presided over a grand reception on April 13, 1880, when a delegation of Ohio legislators and railroad officials arrived in the city to celebrate the completion of the railroad.

 
	
						 
	         _                            Close"

1882-1883,H. Clay Evans ,1882-1883 H. Clay Evans,1882-1883 H. Clay Evans,http://www.chattanooga.gov/about-chattanooga/history-of-mayors/1882-1883-h-clay-evans,"(Lived June 18, 1843 – December 12, 1921)",Male,,,,http://www.chattanooga.gov/images/Mayor_Images/H_Clay_Evans_1881-1882.jpg,"1882-1883 H. Clay Evans 
	
													
								
	

	
		
						 
	




(Lived June 18, 1843 – December 12, 1921)
Henry Clay Evans left his native Pennsylvania in 1864. Shortly after joining the Union Army, he received an assignment as clerk for the United States Army, Quartermaster Corps stationed at Chattanooga.  In this position, he served under Major Thomas J. Carlile, chief of the Quartermaster Corps, who would serve as mayor for the city in 1878.  After the Civil War, Evans served two years in Texas before returning to Chattanooga in 1870.  
Upon his return to Chattanooga, H.Clay Evans quickly became involved in the civic affairs of the city.  Evans also became a leading businessman, being involved in some of the city’s early industries including the Chattanooga Car Company, the Roane Iron Works, and the Wasson Car Works. 
Evans became an Alderman in 1881, and the following year, became mayor.    
Evans was elected mayor for 1882 and was re-elected the following fall. During his second term, Mayor Evans worked with a committee from the Iron, Coal, and Manufacturing Association to raise money for a public library. Unfortunately, it took four years before the city opened the library.  A change in the city charter changed the time of service for a mayor and aldermen to two years. After being mayor, Evans served three additional terms on the Board of Aldermen. 
Evans ran unsuccessfully for the Third District of Tennessee’s Senate seat in 1884 but won the seat four years later.  At the end of his service in 1891, Evans returned to Chattanooga.  In 1894, Evans ran for Governor of Tennessee. Initially, it seemed that he had been elected, however, his opponent contested the vote and eventually won the governorship.  Evans again returned to Chattanooga.  Between 1894 and 1905, Evans received appointments from three Presidents.  President Harding appointed him First Assistant Postmaster General of the Unites States, President William McKinley appointed him Commissioner of Pensions, and President Roosevelt appointed him Consul General in England.
Evans returned to Chattanooga in 1905.  In 1911, when the city’s form of government changed from a Board of Aldermen to a commission, Evans won a commission seat.  Evans served as Commissioner of Education and led the city to make great strides in improving the quality of public education.  In 1928, a new elementary school on Popular Street was christened the H. Clay Evans School, in the former mayor’s honor.

 
	
						 
	         _                            Close"

1883-1885,Hugh Whiteside  ,1883-1885 Hugh Whiteside,1883-1885 Hugh Whiteside,http://www.chattanooga.gov/about-chattanooga/history-of-mayors/1883-1885-hugh-whiteside,"(Lived December 8, 1854 – February 14, 1896)",Male,,,,http://www.chattanooga.gov/images/Mayor_Images/Hugh_Whiteside_1883-1884.jpg,"1883-1885 Hugh Whiteside 
	
													
								
	

	
		
						 
	




(Lived December 8, 1854 – February 14, 1896)
Hugh Whiteside, son of James Whiteside, one of Chattanooga’s business leaders in the 1850s, graduated from the University of the South in 1879.  He entered St. Louis Law College, and upon graduation, returned to Chattanooga to practice.  Just two years after returning the Chattanooga, Whiteside became the first person born in Chattanooga to be elected mayor.  Mayor Whiteside also became the first mayor to serve a two-year term, as a change in the city charter in 1883 mandated that, beginning with the November 1883 election, all mayors serve a two-year term running November to November.    
 
Mayor Whiteside did not seek reelection, instead choosing to run for county judge in 1885.  Winning the election, Whiteside served as county judge until his death in 1896.

 
	
						 
	         _                            Close"

1885-1887,Alonzo Grant Sharpe ,1885-1887 Alonzo Grant Sharpe,1885-1887 Alonzo Grant Sharpe,http://www.chattanooga.gov/about-chattanooga/history-of-mayors/1885-1887-alonzo-grant-sharpe,,Male,,,,http://www.chattanooga.gov/images/Mayor_Images/A_G_SHARP_1868-85-86.jpg,"1885-1887 Alonzo Grant Sharpe 
	
													
								
	

	
		
						 
	




Following his first term as Mayor in 1869, Alonzo Sharp served two terms as city recorder, one term as city attorney, and in 1873, became the U.S. Collector of Revenue in Chattanooga, a position he held for two years.  In 1878, United States Postmaster General and former Chattanoogan, David Key appointed Sharp as a postal inspector, assigning him to a district in California for four years.  In 1883, Sharp was offered the opportunity to return to Chattanooga as Chief Postal Inspector.  Sharp accepted the position and returned to the city, where after just two years back in Chattanooga, he again served as mayor.
In 1890, Sharp became Post Office Inspector General over a southern region including Tennessee, Georgia, Alabama, Florida and South Carolina.
Alonzo Sharpe died at the age of 73 while at his apartment in Atlanta, he was a special agent for American Bell Telephone.

 
	
						 
	         _                            Close"

1887-1889,John B. Nicklin ,1887-1889 John B. Nicklin,1887-1889 John B. Nicklin,http://www.chattanooga.gov/about-chattanooga/history-of-mayors/1887-1889-john-b-nicklin,"(Lived August 5, 1843 – May 6, 1919)",Male,Mustache,No,None,http://www.chattanooga.gov/images/Mayor_Images/JB_Nicklin_1887-1889.jpg,"1887-1889 John B. Nicklin 
	
													
								
	

	
		
						 
	




(Lived August 5, 1843 – May 6, 1919)
John Bailey Nicklin grew up in Pennsylvania, served in the United States Army throughout the Civil War, and moved to Chattanooga in 1866.  Nicklin joined his brother Ben Nicklin in opening a pharmacy in the city.  During the yellow fever epidemic of 1878, Nicklin worked closely with the Relief Committee and freely gave aid from his drug store. 
After several terms on the Board of Aldermen, Nicklin was elected mayor in 1887.  During Mayor Nicklin’s term in office, President and Mrs. Grover Cleveland visited the city, the Chattanooga Chamber of Commerce organized, and the Fireman’s Fountain was dedicated to two fireman killed in the line of duty. 
Nicklin had a keen interest in baseball, and from 1892 to 1902, he served as President for the Southern Baseball League.  Nicklin also served as president of the Chattanooga Baseball League.

 
	
						 
	         _                            Close"

1889-1891,John A. Hart ,1889-1891 John A. Hart,1889-1891 John A. Hart,http://www.chattanooga.gov/about-chattanooga/history-of-mayors/1889-1891-john-a-hart,"(Lived 1845 - January 15, 1891)",Male,Mustache,No,Bow Tie,http://www.chattanooga.gov/images/Mayor_Images/John_A_Hart_1880-1889-1891.jpg,"1889-1891 John A. Hart 
	
													
								
	

	
		
						 
	




(Lived 1845 - January 15, 1891)
Following his first term as mayor, Hart sold his interest in the Loomis & Hart Company to serve as president of the Chattanooga Stove Works.  Hart also served as vice-president of the Mountain City Fire Department before being elected for a second term as mayor in 1889.   During his second term, Mayor Hart led the city in a time of increased prosperity.  Also during this term, plans for a bridge across the Tennessee River were completed and the Walnut Bridge was constructed. 
During the summer of 1890, Mayor Hart suffered a stroke.  He left the city to recuperate in Colorado but returned to the city after missing only one city meeting.  Unfortunately, Mayor Hart suffered another stroke on January 15, 1891 and died while still in office at the young age of 47.

 
	
						 
	         _                            Close"

1891,Isaac B. Merriman ,1891 Isaac B. Merriman,1891 Isaac B. Merriman,http://www.chattanooga.gov/about-chattanooga/history-of-mayors/1891-isaac-b-merriman,"(Lived November 21, 1838 – November 19, 1919)",Male,Mustache,No,Neck Tie,http://www.chattanooga.gov/images/Mayor_Images/IB_Merriam_1891.jpg,"1891 Isaac B. Merriman 
	
													
								
	

	
		
						 
	




(Lived November 21, 1838 – November 19, 1919)
Born in Syracuse, New York, Isaac Merriman remained there until 1865, at which time he moved to Wisconsin to open a mercantile business.  In 1869, he moved to Dexter, Michigan to open a hardware store, and in 1872, he moved to Alabama to begin a hardware business.  In 1878, Merriman moved to Chattanooga and opened a wholesale grocery business, which quickly grew to have customers in Tennessee, Alabama and Georgia.  Eleven years later, Merriman partnered with other businessmen to open the City Savings Bank.  Merriman served as president of the bank for many years.  Merriman was elected to the Board of Alderman in 1889.  
Appointed mayor on January 15, 1891, upon the death of Mayor John Hart, Merriman led Chattanooga through an exciting year.  Mayor Merriman welcomed President Benjamin Harding to the city in April and personally escorted him on a three-hour tour of the city before President Harding spoke to a convention of Southern steel manufacturers gathered in Chattanooga.  On February 18, 1891, Mayor Merriman presided over the opening of the Walnut Street Bridge. At the ceremony, Mayor Merriman spoke of the promise of Chattanooga before the Mayor of Hill City (now North Chattanooga) spoke of how great the easier access to downtown Chattanooga would be for Hill City residents.  At the end of their speeches, the two mayors drove the first car across the Walnut Street Bridge.   Also during his short term, Mayor Merriman assisted with the laying of the cornerstone for Erlanger Hospital. 
Mayor Merriman did not run for re-election in 1891.

 
	
						 
	         _                            Close"

1893-1897,George W. Ochs ,1893-1897 George W. Ochs,1893-1897 George W. Ochs,http://www.chattanooga.gov/about-chattanooga/history-of-mayors/1893-1897-george-w-ochs,"(Lived October 27, 1861 – October 26, 1931)",Male,Mustache,No,Neck Tie,http://www.chattanooga.gov/images/Mayor_Images/George_W_Ochs_1893-1897.jpg,"1893-1897 George W. Ochs 
	
													
								
	

	
		
						 
	




(Lived October 27, 1861 – October 26, 1931)
Born in Cincinnati, Ohio, George Ochs moved to Knoxville, Tennessee with his family at the age of seven.  He attended the University of Tennessee, and in 1879, he left college and move to Chattanooga to work for his brother Adolph at The Chattanooga Times.  In 1884, George became the managing editor of the Times owned industrial magazine The Tradesman. 
In 1890, George Ochs won a city commission seat, became the Police Commissioner and was named president of the Chattanooga Police Commission for three years.  As a delegate to the Democratic National Convention in 1892, Ochs had the privilege of seconding the presidential nomination of Grover Cleveland.  The following year, Ochs won the mayoral race. Two years later he was re-elected.  During his four years as mayor, Ochs oversaw the construction of the first city auditorium and city hall.  Even as the country was recovering from an economic depression, Ochs and the commissioners were able to retire the city’s debt.
Following his terms as Mayor, Ochs served as president of the city’s Board of Education and held several offices in the National Democratic Party.  When his brother Adolph purchased The New York Times, George returned to the publishing business.  As Adolph Ochs’ publishing empire expanded with the purchase of The Philadelphia Times in 1901, George became publisher, overseeing the papers merger with several other Philadelphia papers.  Ochs moved to New York to become editor of the Times owned Current History, and served as a member of the Board of Directors for The New York Times.  Over the years, Ochs held many positions within The New York Times Company.
For seven years, 1907-1914, Ochs serves as president of the Jewish Chautauqua Association.  Being a deeply patriotic man, Ochs was concerned about passing on a German name. So he petitioned the courts to change his name from Ochs to Oakes.  From that point on, George’s part of the Ochs family carried the name Oakes.

 
	
						 
	         _                            Close"

1899-1901,Joseph Wassman  ,1899-1901 Joseph Wassman,1899-1901 Joseph Wassman,http://www.chattanooga.gov/about-chattanooga/history-of-mayors/1899-1901-joseph-wassman,"(Lived 1837-May 12, 1909)",Male,,,,http://www.chattanooga.gov/images/Mayor_Images/colorseal_sm.gif,"(Lived 1837-May 12, 1909)
Born in Bavaria, Joseph Wassman came to the United States at the age of thirteen.  After living in Milwaukee, Wisconsin for seven years, Wassman moved to New York City. Five years later, in 1869, Mr. Wassman moved to Chattanooga so that he and his brother Isaac could open the Wassman Brothers Dry Goods store.  After ten years in Chattanooga, Wassman ran for and won a seat on the Board of Aldermen. Wassman served several terms as an alderman before being elected mayor in 1899.  In 1903, he was elected to the Board of Education, a position he still held when he died in 1909.

 
	
						 
	         _                            Close"

1905-1907,William Little Frierson ,1905-1907 William Little Frierson,1905-1907 William Little Frierson,http://www.chattanooga.gov/about-chattanooga/history-of-mayors/1901-1905-william-little-frierson,"(Lived September 3, 1868 – May 25, 1953)",Male,Mustache,No,Neck Tie,http://www.chattanooga.gov/images/Mayor_Images/WL_Frierson_1905-1907.jpg,"1905-1907 William Little Frierson 
	
													
								
	

	
		
						 
	




(Lived September 3, 1868 – May 25, 1953)
Born in Shelbyville, Tennessee, William Little Frierson moved to Chattanooga in 1890 to establish a law practice.  Frierson first practiced law under Judge Lewis Shepherd.  
 
Elected mayor in 1905, Frierson led the city through two turbulent years.  Mayor Frierson served at a time that the city experienced great racial divides.  The culminating event was the hanging of a black man from the Walnut Street Bridge and an increase in the establishment of Jim Crow laws.  His former legal mentor Judge Shepherd oversaw the legal case following the hanging.
Following his term as mayor, Frierson served two terms as city attorney. He was later appointed special justice to the Supreme Court of Tennessee.  In 1917, Frierson became assistant attorney general of the United States and served in the position for three years.  President Woodrow Wilson appointed Frierson Solicitor General of the United States on May 29, 1920, a position he held until July 1921.
Upon retirement from his national position, Frierson returned to Chattanooga and practiced law for many more years.

 
	
						 
	         _                            Close"

1907-1909,William Riley Crabtree ,1907-1909 William Riley Crabtree,1907-1909 William Riley Crabtree,http://www.chattanooga.gov/about-chattanooga/history-of-mayors/1907-1909-william-riley-crabtree,"(Lived April 23, 1867 – October 10, 1920)",Male,,,,http://www.chattanooga.gov/images/Mayor_Images/William_R_Crabtree_1907-1909.jpg,"1907-1909 William Riley Crabtree 
	
													
								
	

	
		
						 
	




(Lived April 23, 1867 – October 10, 1920)
William Crabtree moved to Chattanooga from Trenton, Georgia. In addition to owning an interest in The Chattanooga Evening News and writing for the paper, Crabtree had an interest in agriculture and acquired a large farm east of Missionary Ridge which he called Belvoir. 
Crabtree served on the Board of Aldermen for two years before being elected Mayor in 1907.  The years of Mayor Crabtree’s service were ones of growth for Chattanooga.  In addition to the city’s first skyscraper being completed, the cornerstone for the Eleventh Street City Hall was laid and Terminal Station opened.  As prohibition went into effect during his term of office, Mayor Crabtree also oversaw the establishment of ways to enforce new temperance laws.
After his term as Mayor, Crabtree served in the State Senate and was Speaker of the House before he retired to his farm.  In addition to raising Jersey cattle, Crabtree published a weekly agricultural newspaper called Crabtree’s Press that enjoyed statewide circulation.  Crabtree eventually sold his paper to The Memphis News who continued its publication.

 
	
						 
	         _                            Close"

1909-1915,Thomas Clarkson Thompson ,1909-1915 Thomas Clarkson Thompson,1909-1915 Thomas Clarkson Thompson,http://www.chattanooga.gov/about-chattanooga/history-of-mayors/1909-1915-thomas-clarkson-thompson,"(Lived September 21, 1860 – March 21, 1938)",Male,,,,http://www.chattanooga.gov/images/Mayor_Images/TC_Thompson_1909.jpg,"1909-1915 Thomas Clarkson Thompson 
	
													
								
	

	
		
						 
	




(Lived September 21, 1860 – March 21, 1938)
In 1860, T.C. Thompson’s father, Hugh Smith Thompson, was commander of South Carolina’s military college, The Citadel, and there, on September 21, T.C. Thompson was born.  Hugh Thompson served as South Carolina’s governor from 1882 to1886. 
T.C. Thompson  moved to Chattanooga in 1893 as a representative for the Atlanta Manufacturing Company.  In 1898, Thompson became manager of the National Life Insurance Company for Tennessee.  Thompson was very active in civic organizations, especially the Civitan Club.
Elected mayor in 1909, T.C. Thompson appointed a committee, consisting of several former mayors and current business leaders, to petition the state legislature to change Chattanooga’s city government from a Board of Aldermen to a city commission system.  When established, this system meant that no longer did each ward within the city elect a representative to the Board of Aldermen, but all citizens voted for just five commissioners to oversee the city government.  In 1911, the commission form of government changed the term of service for a mayor to four years. 
After adoption of the new commission system, the election cycle changed to have the commissioners and mayor elected in April of each year.  Mayor Thompson’s first term was cut short with the change in voting procedures. However, he was re-elected mayor in April 1911 and served the first four-year term of any Chattanooga mayor. In 1912, Mayor Thompson oversaw the establishment of Warner Park.
